5,70.48,1.66,12.4
10,57.78,5.82,34.02
15,37.38,20.81,14.38
20,33.31,18.53,-33.13
25,49.67,-6.43,-32.48
30,46.27,-5.3,-22.5
35,66.26,-8.95,8.11
40,68.16,-5.87,25.71
45,66.87,3.99,29.78
50,62.58,20.02,13.66
55,58.58,28.79,2.05
60,52.08,38.52,-25.29
65,50.79,9.9,-31.06
70,54.68,-20.91,-7.08
75,67.51,-5.78,18.13
80,55.86,-9.33,7.66
