5,44,1.6897058824,33.375
10,84,,
15,59,,
20,63,,
25,68,,
30,78,,
35,94,,
40,90,,
45,95,,
50,99,,
55,114,,
60,141,,
65,145,,
70,150,,
75,169,,
80,190,,
